Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	16/29	2.469547053682421e-28	1.1058082918155728e-26	8.945410439501475e-15	4.0055560079101074e-13	-1.52689795085564	97.06238007004693	MIH1;CLB6;SIC1;CLB5;CLB4;CLB3;CLB2;PHO80;CLB1;CLN3;CLN2;CLN1;SWE1;CKS1;PCL2;PCL1
GO_Biological_Process_2018	nuclear DNA replication (GO:0033260)	15/22	1.1137165638616894e-28	5.6103471904532605e-27	6.380464583498252e-15	3.214159033937244e-13	-1.5057074473633574	96.91437791129299	MCM7;TAH11;CDC6;ORC5;ORC4;CDC45;ORC6;ORC1;ORC3;ORC2;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Biological_Process_2018	DNA metabolic process (GO:0006259)	24/207	2.0586523599902745e-23	5.185230631725512e-22	5.496608344255173e-09	6.515097537455395e-08	-1.8381095803063041	96.01807561812136	MEC1;RAD9;MCM7;MET30;CDC7;ORC5;DDC1;ORC4;RAD53;CDC45;DBF4;ORC6;ORC1;RAD24;ORC3;MRC1;ORC2;CDC28;MCM3;FOB1;MCM4;RAD17;MCM5;MCM1
GO_Biological_Process_2018	regulation of exit from mitosis (GO:0007096)	15/27	1.1049321967572419e-26	3.710730627443072e-25	6.007061645215356e-14	2.04467719051344e-12	-1.5645274159594262	93.50778038384418	SPO12;CDC7;BFA1;ESP1;SLK19;NET1;CDC55;TEM1;DBF4;CDC14;MOB1;CDC15;LTE1;PDS1;SKP1
GO_Biological_Process_2018	G1/S transition of mitotic cell cycle (GO:0000082)	17/40	1.7465243708244924e-27	7.038493214422705e-26	3.5621776522455824e-14	1.4355575938549702e-12	-1.4734753516957102	90.78401352291205	CLB6;SIC1;CLB5;MET30;PPH22;PCL9;HRT1;CDC6;GRR1;PPH21;CDC4;CDC53;CLN3;SWI5;CDC28;PHO85;SKP1
GO_Biological_Process_2018	DNA replication initiation (GO:0006270)	16/34	7.807056801564766e-27	2.8602217191187285e-25	6.088368805499082e-14	2.04467719051344e-12	-1.509783412546491	90.76028179185043	MCM7;MET30;CDC7;ORC5;ORC4;RAD53;CDC45;DBF4;ORC6;ORC1;ORC3;ORC2;MCM3;MCM4;MCM5;MCM1
GO_Biological_Process_2018	positive regulation of cell proliferation (GO:0008284)	10/11	1.0351250058747472e-21	1.7381474056980138e-20	3.6181518323348555e-11	6.943405659194987e-10	-1.7387887650440614	84.01786408526665	CLN3;CLB6;CLN2;CLB5;CLN1;CLB4;CLB3;CLB2;CLB1;CDC28
GO_Biological_Process_2018	DNA-dependent DNA replication (GO:0006261)	18/73	5.164497574113394e-24	1.3875283482451331e-22	1.3522084027992582e-11	3.405874914550635e-10	-1.5648700171979435	83.90869714195124	MCM7;MET30;CDC7;ORC5;ORC4;RAD53;CDC45;DBF4;ORC6;ORC1;ORC3;ORC2;MCM3;MCM4;MCM5;MCM6;MCM1;MCM2
GO_Biological_Process_2018	protein phosphorylation (GO:0006468)	21/144	1.0141055501221132e-22	2.2704696483289527e-21	1.4138343206344447e-09	1.8992507707189368e-08	-1.591565346993126	80.60142909127303	MEC1;KSS1;MPS1;GIN4;CDC7;KCC4;CDC5;FUS3;HSL1;RAD53;CHK1;DUN1;DBF2;MOB1;CDC15;SWE1;CDC28;CAK1;DBF20;BUB1;PHO85
GO_Biological_Process_2018	positive regulation of cell cycle (GO:0045787)	12/20	4.077389634637096e-22	8.215940113793755e-21	1.1440064791148066e-11	3.073564073888445e-10	-1.6295202366060841	80.25617751791233	CLN3;MIH1;CLB6;CLN2;CLB5;CLN1;CLB4;CLB3;CLB2;CLB1;CDC28;CKS1
GO_Biological_Process_2018	DNA packaging (GO:0006323)	10/17	1.770988457990339e-18	2.0991422016767842e-17	7.551005633824905e-10	1.1270575075671989e-08	-1.9104140907418568	78.08816417629023	CDC26;SCC4;DOC1;FOB1;SCC2;APC9;SMC4;YCG1;APC5;SMC2
GO_Biological_Process_2018	mitotic DNA integrity checkpoint (GO:0044774)	13/20	1.4895553771770351e-24	4.356823272665515e-23	7.066690365801153e-13	2.1906740133983588e-11	-1.4201727619082125	77.91574001073968	MAD3;MAD2;MAD1;CDC7;CDC6;MEC3;RAD53;DBF4;CHK1;DUN1;ORC1;RAD24;BUB3
GO_Biological_Process_2018	regulation of cell cycle process (GO:0010564)	14/36	3.936419314256676e-22	8.215940113793755e-21	1.9438489088233633e-11	4.352061723643416e-10	-1.5777923216988812	77.7640198934837	CLB6;CLB5;CLB4;CLB3;MPS1;CLB2;CLB1;CDC20;CLN3;CLN2;CLN1;DBF2;MRC1;SWE1
GO_Biological_Process_2018	cellular protein modification process (GO:0006464)	24/213	4.1270476440856506e-23	9.783530591567752e-22	9.210037225509578e-09	1.0604700005372452e-07	-1.4855129427304634	76.56615188313205	PPH22;KSS1;MPS1;GIN4;CDC7;KCC4;PPH21;CDC5;FUS3;HSL1;RAD53;CDC55;CHK1;DUN1;CDC14;DBF2;MOB1;CDC15;SWE1;CDC28;CAK1;DBF20;BUB1;PHO85
GO_Biological_Process_2018	regulation of nuclear division (GO:0051783)	11/23	7.191633710500933e-19	9.349123823651209e-18	5.520975307518657e-10	8.89981219572007e-09	-1.820816503211916	76.06679149026027	CDC20;CLN3;CLB6;CLN2;CLB5;CLN1;CLB4;CLB3;CLB2;CLB1;SWE1
GO_Biological_Process_2018	positive regulation of mitotic cell cycle phase transition (GO:1901992)	11/17	6.80246153903841e-21	1.0153303704564754e-19	4.74968163352206e-11	8.700553174133582e-10	-1.6323161516156812	75.79986907488335	CDC20;MIH1;CDC55;CDC45;SPO12;CDH1;APC11;APC4;APC5;ESP1;SLK19
GO_Biological_Process_2018	cell cycle G1/S phase transition (GO:0044843)	13/28	6.887523582605133e-22	1.2616690926317602e-20	1.8119790305210275e-11	4.2954561723527894e-10	-1.5040612723119813	73.28863493870278	CLB6;SIC1;CLB5;MET30;PPH22;HRT1;CDC6;GRR1;PPH21;CDC4;CDC53;CDC28;SKP1
GO_Biological_Process_2018	regulation of mitotic cell cycle phase transition (GO:1901990)	11/26	4.042586118491105e-18	4.525450571533095e-17	1.5411247208883065e-09	2.003462137154798e-08	-1.7677732819407856	70.79869602095394	NET1;TEM1;SPO12;CDC14;MOB1;CDC15;LTE1;CDC28;ESP1;SKP1;SWM1
GO_Biological_Process_2018	mitotic spindle checkpoint (GO:0071174)	14/40	2.3546034095835195e-21	3.6496352848544585e-20	6.144280196659793e-11	1.076584747501694e-09	-1.4593866013961996	69.31782022449087	MAD3;MAD2;MAD1;PPH22;MPS1;BFA1;PPH21;TPD3;CDC20;TEM1;LTE1;BUB3;BUB2;BUB1
GO_Biological_Process_2018	positive regulation of spindle pole body separation (GO:0010696)	7/8	3.313148422260884e-15	2.8408485407896507e-14	4.470677238814452e-08	4.094733925550507e-07	-2.0703954212398354	69.02880005946894	CLB5;CLB4;CLB3;CLB2;CLB1;CDC28;CDC5
GO_Biological_Process_2018	mitotic G2/M transition checkpoint (GO:0044818)	8/15	1.5868525315060292e-14	1.3051052452998566e-13	7.355164484807905e-08	6.586958416394632e-07	-2.1500716696368096	68.31732065560519	CDC55;DBF4;CHK1;ORC1;RAD24;CDC7;CDC6;MEC3
GO_Biological_Process_2018	mitotic nuclear division (GO:0140014)	15/47	4.287214849969464e-22	8.227369450179501e-21	3.608203766307603e-11	6.943405659194987e-10	-1.3869205182013555	68.23820198574778	APC2;YCS4;APC1;BRN1;CDC5;SMC4;SMC1;ESP1;SMC2;TEM1;PDS1;CDC28;DBF20;YCG1;SKP1
GO_Biological_Process_2018	mitotic chromosome condensation (GO:0007076)	8/12	1.240734835334528e-15	1.1628282293949186e-14	2.0219238417897737e-08	2.0893213031827668e-07	-1.922921358698326	66.00056936345854	YCS4;MCD1;SCC4;SCC2;BRN1;SMC4;YCG1;SMC2
GO_Biological_Process_2018	protein ubiquitination (GO:0016567)	15/82	4.703612202373909e-18	5.1231235609640165e-17	2.719346033762255e-08	2.6092772657290186e-07	-1.6286524210703857	64.98030150299488	APC2;APC1;MET30;HRT1;GRR1;APC11;CDC4;SWM1;CDC23;CDC26;CDC16;CDC27;APC9;APC4;APC5
GO_Biological_Process_2018	positive regulation of cellular process (GO:0048522)	10/17	1.770988457990339e-18	2.0991422016767842e-17	7.551005633824905e-10	1.1270575075671989e-08	-1.5627734359189844	63.878354554534425	CLN3;CLB6;CLN2;CLB5;CLN1;CLB4;CLB3;CLB2;CLB1;CDC28
GO_Biological_Process_2018	mitotic spindle assembly checkpoint (GO:0007094)	10/26	4.604560892907775e-16	4.418185809147221e-15	1.8544042426634396e-08	1.966644499456229e-07	-1.799365794115074	63.54336897301725	CDC20;MAD3;MAD2;MAD1;PPH22;MPS1;BUB3;PPH21;TPD3;BUB1
GO_Biological_Process_2018	phosphorylation (GO:0016310)	20/139	1.4848438258121249e-21	2.3935682472091436e-20	4.49644628578676e-09	5.491114706582017e-08	-1.3143551938721216	63.03513097796503	KSS1;MPS1;GIN4;CDC7;KCC4;CDC5;FUS3;HSL1;RAD53;CHK1;DUN1;DBF2;MOB1;CDC15;SWE1;CDC28;CAK1;DBF20;BUB1;PHO85
GO_Biological_Process_2018	regulation of mitotic cell cycle (GO:0007346)	13/44	8.752049264382441e-19	1.1022112042331633e-17	1.7510804097049212e-09	2.2052668909721362e-08	-1.507185264305292	62.668505398801784	MIH1;CLB6;CLB5;CLB4;CLB3;CLB2;CLB1;CLN3;CLN2;CLN1;CDC15;CDC28;CKS1
GO_Biological_Process_2018	DNA replication checkpoint (GO:0000076)	9/19	1.3673282706788684e-15	1.224518429074631e-14	2.3732221846370645e-08	2.3327037570944815e-07	-1.827363605239851	62.543196409359005	DDC1;DBF4;CHK1;ORC1;RAD24;MRC1;CDC7;CDC6;MEC3
GO_Biological_Process_2018	regulation of cell cycle (GO:0051726)	14/51	1.235471249442609e-19	1.7168790121564541e-18	9.000680644600522e-10	1.2954551070621478e-08	-1.4143330441297357	61.576757271120684	CLB6;RAD9;CLB5;CLB4;CLB3;CLB2;CLB1;CLN3;HSL1;CLN2;CLN1;CDC15;HSL7;CKS1
GO_Biological_Process_2018	protein modification by small protein conjugation (GO:0032446)	16/74	1.9205374071736966e-20	2.7642020538964277e-19	1.0792615370455436e-09	1.4998013773426006e-08	-1.3360850715860249	60.657055515920746	APC2;APC1;MET30;HRT1;GRR1;APC11;CDC4;SWM1;CDC23;CDC26;CDC16;CDC27;APC9;APC4;APC5;SKP1
GO_Biological_Process_2018	double-strand break repair via homologous recombination (GO:0000724)	13/64	1.985758860315091e-16	2.0006520517674566e-15	8.34302627527271e-08	7.309216497684566e-07	-1.673775663594702	60.51596226138054	MCM7;TAH11;MCD1;CDC7;MEC3;SMC3;CDC45;MCM3;MCM4;SCC2;MCM5;MCM6;MCM2
GO_Biological_Process_2018	rDNA condensation (GO:0070550)	6/10	1.3801747027087049e-11	9.427295003247605e-11	2.090525327403617e-06	1.4525546671442373e-05	-2.2444392900579992	56.124955985955545	SCC4;FOB1;SCC2;SMC4;YCG1;SMC2
GO_Biological_Process_2018	chromosome condensation (GO:0030261)	9/19	1.3673282706788684e-15	1.224518429074631e-14	2.3732221846370645e-08	2.3327037570944815e-07	-1.6253307834006687	55.62843767103639	YCS4;MCD1;SCC4;FOB1;SCC2;BRN1;SMC4;YCG1;SMC2
GO_Biological_Process_2018	double-strand break repair via break-induced replication (GO:0000727)	9/27	6.640602445972163e-14	5.247378011228981e-13	2.6986185999891133e-07	2.1750865915912255e-06	-1.8327044928754261	55.60973155781617	CDC45;MCM7;TAH11;MCM3;MCM4;CDC7;MCM5;MCM6;MCM2
GO_Biological_Process_2018	mitotic DNA replication checkpoint (GO:0033314)	7/11	1.3447231724364398e-13	1.022497053758275e-12	2.0674552327184687e-07	1.7358009558032152e-06	-1.8758427515513123	55.59513579903199	DBF4;CHK1;ORC1;RAD24;CDC7;CDC6;MEC3
GO_Biological_Process_2018	spindle assembly checkpoint (GO:0071173)	10/26	4.604560892907775e-16	4.418185809147221e-15	1.8544042426634396e-08	1.966644499456229e-07	-1.5567387756859536	54.97516221634336	CDC20;MAD3;MAD2;MAD1;PPH22;MPS1;BUB3;PPH21;TPD3;BUB1
GO_Biological_Process_2018	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	18/145	2.6677897772032984e-18	3.0717693720369404e-17	2.2151190009528733e-07	1.8218223620081784e-06	-1.3270298383883845	53.6986357610686	APC2;APC1;MET30;HRT1;GRR1;APC11;CDC4;SWM1;CDC20;CDC53;CDC23;CDC26;CDC16;CDC27;DOC1;APC4;APC5;SKP1
GO_Biological_Process_2018	tRNA gene clustering (GO:0070058)	6/8	1.859951608271571e-12	1.3150184177779694e-11	8.193167734251393e-07	6.0033574489151105e-06	-1.9130497541497151	51.67237422803353	YCS4;SCC2;BRN1;SMC4;YCG1;SMC2
GO_Biological_Process_2018	positive regulation of cell cycle process (GO:0090068)	9/25	2.926412326042949e-14	2.358688334790618e-13	1.5731852774330758e-07	1.3489226953309133e-06	-1.6364185366816475	50.994752066679524	CLB5;CLB4;CDC14;CLB3;CLB2;CLB1;CDC28;CDC5;DAM1
GO_Biological_Process_2018	exit from mitosis (GO:0010458)	6/11	3.020247668021055e-11	1.963160984213686e-10	3.160338107528253e-06	2.158671622599805e-05	-2.079440243676262	50.37048311428397	APC2;TEM1;APC1;DBF20;CDC5;SKP1
GO_Biological_Process_2018	regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	11/33	9.745881980438876e-17	1.0070744713120175e-15	1.1789678567444013e-08	1.3197890174110929e-07	-1.3618698381663106	50.20819388860736	CLN3;MBP1;MET30;PCL9;WHI5;SWI6;YOX1;SWI5;SWI4;YHP1;PHO85
GO_Biological_Process_2018	mitotic sister chromatid segregation (GO:0000070)	14/71	2.0635499610431736e-17	2.1884490376326292e-16	3.562519329999767e-08	3.3388262557904783e-07	-1.3040294203065763	50.100182828157976	YCS4;MCD1;SCC4;IRR1;BRN1;SMC3;SMC4;SMC1;ESP1;SMC2;MRC1;PDS1;SCC2;YCG1
GO_Biological_Process_2018	positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	5/6	6.410136886644714e-11	3.974284869719721e-10	5.134915251814971e-06	3.284715629335607e-05	-2.124460372934605	49.86226487181862	CDC20;CDH1;APC11;APC4;APC5
GO_Biological_Process_2018	cellular response to DNA damage stimulus (GO:0006974)	16/149	2.3315154562660903e-15	2.0426102801635522e-14	6.270085981714361e-06	3.887453308662909e-05	-1.4314642825409052	48.22926382257953	MEC1;RAD9;LCD1;MCD1;GRR1;MEC3;DDC1;RAD53;CHK1;DUN1;RAD24;MRC1;PDS1;RAD17;PHO85;MCM2
GO_Biological_Process_2018	positive regulation of mitotic sister chromatid separation (GO:1901970)	5/6	6.410136886644714e-11	3.974284869719721e-10	5.134915251814971e-06	3.284715629335607e-05	-2.052504079346951	48.17341069700254	CDC20;CDH1;APC11;APC4;APC5
GO_Biological_Process_2018	regulation of mitotic metaphase/anaphase transition (GO:0030071)	6/9	5.550196998797927e-12	3.856429983647521e-11	1.335723440786022e-06	9.612438332799416e-06	-1.846618988609032	47.85917092620064	CDC20;CDH1;APC11;APC4;APC5;SWM1
GO_Biological_Process_2018	chromosome organization (GO:0051276)	11/48	1.048138719302407e-14	8.799997997476455e-14	3.0587884797555393e-07	2.3705610718105425e-06	-1.4732006453860875	47.421113913370114	MAD2;YCS4;MRC1;FOB1;SCC2;MCM5;BRN1;BUB1;SMC4;YCG1;SMC2
GO_Biological_Process_2018	positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	5/7	2.2318610914621645e-10	1.3424477908347046e-09	8.614512862133901e-06	5.260073762787822e-05	-2.070147203300241	46.004912604465076	CDC20;CDH1;APC11;APC4;APC5
GO_Biological_Process_2018	sister chromatid segregation (GO:0000819)	10/47	4.001404072788874e-13	2.9319378933343926e-12	1.9554048761147313e-06	1.3825055527618193e-05	-1.6040491139864714	45.790727324532526	YCS4;MPS1;PDS1;BRN1;BUB1;SMC4;YCG1;SMC1;ESP1;SMC2
GO_Biological_Process_2018	negative regulation of exit from mitosis (GO:0001100)	8/22	7.590917347560378e-13	5.462749448333624e-12	7.498598380415613e-07	5.701764428882059e-06	-1.6316392199779124	45.53359077668797	CDC55;TEM1;DBF4;LTE1;PDS1;CDC7;BFA1;BUB2
GO_Biological_Process_2018	synaptonemal complex organization (GO:0070193)	7/20	3.009138459756994e-11	1.963160984213686e-10	4.718274206048279e-06	3.117154926290911e-05	-1.865763052853875	45.20143513907981	YCS4;CDC28;CDC5;SMC3;SMC4;YCG1;SMC2
GO_Biological_Process_2018	chromatin silencing at silent mating-type cassette (GO:0030466)	10/42	1.1686130486096099e-13	9.056751126724471e-13	8.024799750809468e-07	5.988878332548547e-06	-1.5118868945829729	45.02064832164696	ORC5;ORC4;YCS4;ORC6;MCM7;ORC1;ORC3;MRC1;ORC2;MCM3
GO_Biological_Process_2018	synaptonemal complex assembly (GO:0007130)	6/16	5.097486621144014e-10	3.021010453413291e-09	1.706564025987907e-05	0.00010264855260792936	-2.051180413008433	43.8893192478064	YCS4;CDC28;SMC3;SMC4;YCG1;SMC2
GO_Biological_Process_2018	negative regulation of mitotic nuclear division (GO:0045839)	5/9	1.3252040900999738e-09	7.521933074792807e-09	2.085506255300672e-05	0.00012180565520089441	-2.1288483450894438	43.51727785144775	CDC55;DBF4;PDS1;CDC7;BFA1
GO_Biological_Process_2018	DNA damage checkpoint (GO:0000077)	8/19	1.8237256346287759e-13	1.3610396865840682e-12	3.043191913086818e-07	2.3705610718105425e-06	-1.4808688736930382	43.43791906020896	RAD53;RAD9;CHK1;DUN1;RAD24;LCD1;RAD17;MEC3
GO_Biological_Process_2018	negative regulation of mitotic cell cycle phase transition (GO:1901991)	5/9	1.3252040900999738e-09	7.521933074792807e-09	2.085506255300672e-05	0.00012180565520089441	-1.8170611293075607	37.14381732242196	CDC55;DBF4;PDS1;CDC7;BFA1
GO_Biological_Process_2018	mitotic DNA damage checkpoint (GO:0044773)	7/21	4.48942308209753e-11	2.871805558865561e-10	6.152180948319891e-06	3.873951440895182e-05	-1.489465505707861	35.48906536876246	DDC1;RAD53;RAD9;CHK1;DUN1;MRC1;MEC3
GO_Biological_Process_2018	positive regulation of cytoskeleton organization (GO:0051495)	7/20	3.009138459756994e-11	1.963160984213686e-10	4.718274206048279e-06	3.117154926290911e-05	-1.4436373798909572	34.97468839447691	CLB5;CLB4;CLB3;CLB2;CLB1;CDC28;CDC5
GO_Biological_Process_2018	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	6/21	3.3634058474100268e-09	1.8567843239811525e-08	6.065229493436752e-05	0.00034426584307817076	-1.7070467454431115	33.30501414349629	CDC53;MET30;HRT1;GRR1;CDC4;SKP1
GO_Biological_Process_2018	positive regulation of DNA metabolic process (GO:0051054)	4/7	5.875458647164764e-08	2.753267249776047e-07	0.0001391411784182988	0.000728232401332136	-1.9546815091668412	32.545245051415684	CLB6;CLB5;DBF4;FOB1
GO_Biological_Process_2018	regulation of mitotic spindle organization (GO:0060236)	5/10	2.6366064329202144e-09	1.4757672117595078e-08	3.061473210905146e-05	0.0001762533862849678	-1.6211838669641088	32.024498405274876	CLB5;CLB4;CLB3;CLB2;ESP1
GO_Biological_Process_2018	regulation of establishment or maintenance of cell polarity (GO:0032878)	4/7	5.875458647164764e-08	2.753267249776047e-07	0.0001391411784182988	0.000728232401332136	-1.9104718133841283	31.809158187059854	PCL9;PCL2;PCL1;PHO85
GO_Biological_Process_2018	positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	5/15	3.061022324395195e-08	1.5043804838186146e-07	0.00014191437354747595	0.0007332242633286257	-1.795937942933346	31.07319578922339	CLN3;CLN2;CDC45;CLN1;WHI5
GO_Biological_Process_2018	mitotic sister chromatid cohesion (GO:0007064)	7/40	6.497087223657106e-09	3.491101534845083e-08	0.0002140460496738293	0.001091905797703206	-1.6480803973413305	31.069466421698518	MCD1;MRC1;SCC4;SCC2;IRR1;SMC3;SMC1
GO_Biological_Process_2018	regulation of spindle assembly (GO:0090169)	4/6	2.5308071978186523e-08	1.2591546922480456e-07	9.041162817551143e-05	0.000506053974371266	-1.6956140548893597	29.659922574065533	CLB5;CLB4;CLB3;CDC28
GO_Biological_Process_2018	synapsis (GO:0007129)	6/23	6.190649137956267e-09	3.371394057562672e-08	9.314689010688126e-05	0.0005142218727818244	-1.5024210899441566	28.39609797723911	YCS4;CDC28;SMC3;SMC4;YCG1;SMC2
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	14/241	5.909586605426678e-10	3.4515411622999278e-09	0.007659742243112881	0.0241162197185507	-1.3262938971582594	28.18278381690968	RAD9;TUP1;SWI4;RFX1;CDC55;MBP1;CYC8;SWI6;CDC28;PHO4;CKS1;CAK1;MCM1;PHO2
GO_Biological_Process_2018	DNA repair (GO:0006281)	13/169	7.818247447521812e-11	4.773869274774683e-10	0.0010351619134909614	0.004635225012631747	-1.203354482279937	28.004436155863274	MEC1;RAD9;MCD1;SCC4;MEC3;SMC1;DDC1;RAD53;RAD24;MRC1;PDS1;RAD17;SCC2
GO_Biological_Process_2018	DNA strand elongation (GO:0022616)	5/14	2.051358033350856e-08	1.0598683172312765e-07	0.00010875189848370848	0.0005922569606612773	-1.5551758437117935	27.530000718381405	MCM7;MCM3;MCM4;MCM6;MCM2
GO_Biological_Process_2018	regulation of DNA-dependent DNA replication (GO:0090329)	6/24	8.2103717446365e-09	4.3536576488006715e-08	0.0001139045564972837	0.0006120471502454046	-1.4211858137039983	26.459449364301108	MEC1;MET30;TAH11;MRC1;MCM5;CDC6
GO_Biological_Process_2018	regulation of DNA replication (GO:0006275)	4/10	3.472266533057719e-07	1.5210037095894142e-06	0.00039648522442638906	0.0019485798224857904	-1.754721219488413	26.098474216268094	CLB6;CLB5;DBF4;FOB1
GO_Biological_Process_2018	mitotic DNA replication (GO:1902969)	4/11	5.42894106780267e-07	2.2555291240458516e-06	0.0005295290398135505	0.0025404786076769167	-1.8016578266192973	25.99134918172332	CDC45;MCM3;CDC7;MCM2
GO_Biological_Process_2018	chromatin assembly (GO:0031497)	6/28	2.249705151894507e-08	1.1476344002702357e-07	0.00023631688691877966	0.0011904463178533523	-1.4705299053342782	25.89585749267561	CYC8;TUP1;CDC26;DOC1;APC9;APC5
GO_Biological_Process_2018	sister chromatid biorientation (GO:0031134)	4/11	5.42894106780267e-07	2.2555291240458516e-06	0.0005295290398135505	0.0025404786076769167	-1.779173829396846	25.66698713351676	MPS1;CDC28;BUB1;DAM1
GO_Biological_Process_2018	replication fork protection (GO:0048478)	3/7	9.215001287391256e-06	3.2575837884374376e-05	0.0019525765838657534	0.007566234262479798	-1.9797773564556784	22.95488061756346	CHK1;DUN1;MRC1
GO_Biological_Process_2018	peptidyl-serine modification (GO:0018209)	6/39	1.8375349695465395e-07	8.320523513789389e-07	0.0011250353602481344	0.004823289895531892	-1.4779386398653256	22.92234157180653	HSL1;DUN1;DBF2;CDC28;CDC7;DBF20
GO_Biological_Process_2018	regulation of mitotic sister chromatid separation (GO:0010965)	3/6	5.290895558134997e-06	1.9927391681573874e-05	0.0013939270971179039	0.005851589793109532	-1.8466252274621824	22.43561573579132	APC2;APC1;SWM1
GO_Biological_Process_2018	positive regulation of cellular biosynthetic process (GO:0031328)	5/25	5.140464166843154e-07	2.1806390097239924e-06	0.00105241891820656	0.004660712352057623	-1.5430006652844306	22.34411898769648	CLB6;CLB5;DBF4;SWE1;PHO85
GO_Biological_Process_2018	negative regulation of DNA-dependent DNA replication (GO:2000104)	4/12	8.102409532360062e-07	3.298253577314249e-06	0.0006915119595258535	0.003278580231634341	-1.5808039482793	22.172252099042765	CHK1;DUN1;CDC16;MRC1
