source	target	score	edge type
Kalrn	Dlg4	0.690595395293076	PPI
Psmd4	Ubc	0.6880450566641689	PPI
Dffa	Dffb	0.6880450566641689	PPI
Bcl2	Bax	0.687883711102393	PPI
Fos	Jun	0.6871899300775589	PPI
Grb2	Sos1	0.6870021834026441	PPI
Traf6	Itch	0.686171990101607	PPI
Nanog	Mta2	0.686171990101607	PPI
Dlg4	Lrp1	0.685642764127209	PPI
Hdac1	Hdac2	0.685590256640218	PPI
Vps35	Vps29	0.6844033898221139	PPI
Ly96	Tlr4	0.6841096403355239	PPI
Arnt	Hif1a	0.6840394725452621	PPI
Hdac1	Kdm1a	0.6830080526611669	PPI
Rptor	Mtor	0.68255109698835	PPI
Gria2	Dlg4	0.68255109698835	PPI
Kcna4	Dlg4	0.6806761344428051	PPI
Cdk4	Cebpa	0.6803984126965611	PPI
Stat3	Jak2	0.6800588209853621	PPI
Hck	Cbl	0.678424645778734	PPI
Dlg4	Lgi1	0.678154849573458	PPI
Kcna1	Dlg4	0.678154849573458	PPI
Kcna2	Dlg4	0.678154849573458	PPI
Ring1	Rybp	0.67665796381924	PPI
Cdc27	Fzr1	0.6763076223139879	PPI
Braf	Raf1	0.6763076223139879	PPI
Cul1	Skp2	0.6763076223139879	PPI
Ilk	Parvb	0.6763076223139879	PPI
Cbl	Lyn	0.6763076223139879	PPI
Hdac1	Sin3b	0.6763076223139879	PPI
Crkl	Dab1	0.676205590039006	PPI
Abl1	Dok1	0.676134601983954	PPI
Lamc1	Nid1	0.6751799760063979	PPI
Bmi1	Phc2	0.674210649574745	PPI
Traf6	Irak1	0.6735740493813579	PPI
Hdac1	Tal1	0.673529509375796	PPI
Dmd	Snta1	0.671870523240899	PPI
Stam2	Hgs	0.671629362074053	PPI
Cbl	Sh2b2	0.6707890875677691	PPI
Myd88	Traf3	0.6704491032136589	PPI
Lck	Cd4	0.6704267297773859	PPI
Hdac1	Sox2	0.666769825352048	PPI
Sox2	Nanog	0.666729330388277	PPI
Agap2	Dlg4	0.6666438329422989	PPI
Nanog	Zmym2	0.6666438329422989	PPI
Dlg4	Dlg2	0.6666438329422989	PPI
Dlg3	Dlg4	0.6666438329422989	PPI
Dlg4	Dlg1	0.6666438329422989	PPI
Ncoa2	Carm1	0.6665898289053019	PPI
Atg5	Atg12	0.6648503591034599	PPI
Wnt3a	Fzd8	0.6647826712542979	PPI
Abl1	Cbl	0.664091861115614	PPI
Atg3	Atg12	0.6621419787326579	PPI
Ercc1	Slx4	0.661307795205833	PPI
Axin1	Lrp5	0.661307795205833	PPI
Syne2	Sun2	0.661307795205833	PPI
Dvl1	Dact1	0.660495268718861	PPI
Dmd	Sntb2	0.6603726220854399	PPI
Ube2n	Traf6	0.6603726220854399	PPI
Dmd	Sntb1	0.6603726220854399	PPI
Chd4	Mta2	0.660249952669442	PPI
Traf6	Ecsit	0.658101815830955	PPI
Rev1	Polh	0.6576001824817261	PPI
Ctbp1	Zeb1	0.657577371873455	PPI
Rac1	Dlg4	0.655704201603131	PPI
Mtf2	Ezh2	0.655704201603131	PPI
Hdac2	Nanog	0.655704201603131	PPI
Mtf2	Suz12	0.655704201603131	PPI
Mta1	Mta2	0.655704201603131	PPI
Mta2	Mbd3	0.655704201603131	PPI
Rbbp4	Ezh2	0.655704201603131	PPI
Ezh1	Suz12	0.655704201603131	PPI
Ezh2	Aebp2	0.655704201603131	PPI
Akt1	Gsk3b	0.654802260228231	PPI
Akt1	Gsk3a	0.654802260228231	PPI
Nedd4	Grb10	0.652838417987177	PPI
Ubc	Hgs	0.650947002451044	PPI
Plin1	Abhd5	0.650947002451044	PPI
Smc1a	Smc3	0.650822556462205	PPI
Hdac2	Kdm1a	0.6506980866730739	PPI
Arf3	Dlg4	0.650079995077529	PPI
Mks1	B9d1	0.650079995077529	PPI
Cbl	Itsn1	0.650079995077529	PPI
Kcna3	Dlg4	0.650079995077529	PPI
Grik5	Dlg4	0.650079995077529	PPI
Grik2	Dlg4	0.650079995077529	PPI
Prdx1	Dlg4	0.650079995077529	PPI
Abr	Dlg4	0.650079995077529	PPI
Dlg4	Nlgn2	0.650079995077529	PPI
Dlg4	Sept5	0.650079995077529	PPI
Gnai1	Dlg4	0.650079995077529	PPI
Cntn1	Dlg4	0.650079995077529	PPI
Dlg4	Grm3	0.650079995077529	PPI
Dlg4	Gria3	0.650079995077529	PPI
Syt1	Dlg4	0.650079995077529	PPI
Dlg4	Basp1	0.650079995077529	PPI
Dlg4	Gria4	0.650079995077529	PPI
Phb2	Dlg4	0.650079995077529	PPI
Ep300	Kat2b	0.646558582032595	PPI
Stam2	Ubc	0.6463915222216329	PPI
Socs3	Cul5	0.6463915222216329	PPI
Atg3	Atg7	0.646238346123162	PPI
Malt1	Bcl10	0.646238346123162	PPI
Traf3	Tcam1	0.646238346123162	PPI
Hdac1	Cebpb	0.646085133709173	PPI
Eps8	Abi1	0.646085133709173	PPI
Kdm1a	Rcor1	0.646085133709173	PPI
Tec	Dok1	0.6456856820466129	PPI
Nr2c1	Nrip1	0.6439596260636221	PPI
Trrap	Kat2a	0.6432091417260799	PPI
Lrrk2	Dnm1l	0.642966562116569	PPI
Gria2	Grip1	0.642966562116569	PPI
Dab1	Vldlr	0.641817731135562	PPI
Nfkb1	Relb	0.641817731135562	PPI
Bcl6b	Bcl6	0.641322071973201	PPI
Lck	Cbl	0.6403764517844169	PPI
Nanog	Mbd3	0.6403764517844169	PPI
Tcam1	Tlr4	0.6403764517844169	PPI
Fbxw7	Cul1	0.6403764517844169	PPI
Gli1	Sufu	0.6403764517844169	PPI
Gli3	Sufu	0.6403764517844169	PPI
Traf6	Cyld	0.6403764517844169	PPI
Myd88	Irak2	0.6403764517844169	PPI
Clock	Per1	0.6403764517844169	PPI
Myb	Fbxw7	0.6403764517844169	PPI
Epor	Jak2	0.6403764517844169	PPI
Il1r1	Myd88	0.6403764517844169	PPI
Mdm2	Dlg4	0.6403764517844169	PPI
Shc1	Sos1	0.6403764517844169	PPI
Ripk1	Ripk3	0.6403764517844169	PPI
Shc1	Egfr	0.6403764517844169	PPI
Atrx	Mecp2	0.639077460093845	PPI
Rif1	Nanog	0.6383447344499681	PPI
Clock	Cry2	0.635915088671436	PPI
Pak1	Cdc42	0.635915088671436	PPI
Csf1	Csf1r	0.635542288128807	PPI
Cd22	Grb2	0.634408385820995	PPI
Lmna	Sun2	0.633154009700641	PPI
Cul4a	Ddb1	0.633154009700641	PPI
Gata1	Tal1	0.633154009700641	PPI
Ccnd3	Cdk6	0.633154009700641	PPI
Ccnd1	Cdk6	0.633154009700641	PPI
Tal1	Ldb1	0.633154009700641	PPI
Ric8b	Gnal	0.632978672626495	PPI
Per1	Cry2	0.630590199733551	PPI
Ap2a2	Eps15	0.629337747159663	PPI
Ubc	Mysm1	0.629337747159663	PPI
Ccnd3	Fbxl2	0.629337747159663	PPI
Igf1r	Grb10	0.6286413922102171	PPI
Traf6	Irak3	0.6286413922102171	PPI
Cbl	Cd2ap	0.6286413922102171	PPI
Per1	Per2	0.6286413922102171	PPI
Dok1	Nck1	0.628436154275039	PPI
Eed	Aebp2	0.628436154275039	PPI
Tnik	Agap2	0.628436154275039	PPI
Myc	Max	0.62497999967999	PPI
Ubc	Vps36	0.624624687312309	PPI
Ubc	Uchl1	0.624624687312309	PPI
Cebpa	Cdk2	0.6244661720221519	PPI
Hdac1	Sp1	0.6244661720221519	PPI
Sox2	Six1	0.6244661720221519	PPI
Hnf1b	Kat2b	0.6244661720221519	PPI
Sox2	Sall4	0.6244661720221519	PPI
Ly86	Cd180	0.6244661720221519	PPI
Sox2	Eya1	0.6244661720221519	PPI
Lck	Hcls1	0.6244661720221519	PPI
Cdk1	Ccna2	0.6244661720221519	PPI
Optn	Tbk1	0.6244661720221519	PPI
Nup62	Nxf1	0.6244661720221519	PPI
Gria2	Gria3	0.6237739975343629	PPI
Lat	Plcg1	0.6237739975343629	PPI
Lat	Grb2	0.6237739975343629	PPI
Ccnd3	Cdk4	0.6237739975343629	PPI
Grb2	Frs2	0.6237739975343629	PPI
Kif3a	Kif3b	0.6237739975343629	PPI
Ccnd2	Cdk4	0.6237739975343629	PPI
Fscn1	Dlg4	0.622404209497333	PPI
Uba1	Dlg4	0.622404209497333	PPI
Arpc4	Dlg4	0.622404209497333	PPI
Prrt1	Dlg4	0.622404209497333	PPI
Fadd	Atg5	0.621074874713186	PPI
Nacc1	Sall4	0.621074874713186	PPI
Myd88	Cblb	0.621074874713186	PPI
Grap2	Blnk	0.6198903128780121	PPI
Lyn	Hcls1	0.6198903128780121	PPI
Nck2	Efnb1	0.6198903128780121	PPI
Daxx	Dmap1	0.619377106454541	PPI
Pias3	Gfi1	0.619377106454541	PPI
Net1	Unc5b	0.618790756233478	PPI
Ptpra	Grb2	0.618591949511146	PPI
Socs3	Jak2	0.618591949511146	PPI
Srsf2	Cdk9	0.6183930788745939	PPI
Dtnb	Kif5a	0.6183542673904661	PPI
Rev1	Polk	0.614426561925833	PPI
Poli	Rev1	0.614426561925833	PPI
Ubc	Adrm1	0.614172614172921	PPI
Ring1	Cbx2	0.614172614172921	PPI
Foxk1	Sin3b	0.614001628662335	PPI
Sfr1	Swi5	0.6139723120792989	PPI
Pcna	Rev1	0.6139723120792989	PPI
Sumo1	Nr2c1	0.6129600313234129	PPI
Traf6	Irf7	0.6111660985362329	PPI
Sp1	E2f1	0.6111660985362329	PPI
Nanog	Rfc4	0.610910795452167	PPI
Myd88	Tnip1	0.610910795452167	PPI
Traf2	Ube2n	0.610910795452167	PPI
Traf2	Itch	0.610910795452167	PPI
Sin3a	Mecp2	0.610910795452167	PPI
Rock2	Dlg4	0.610910795452167	PPI
Traf6	Rnf11	0.610910795452167	PPI
Gpm6a	Dlg4	0.610910795452167	PPI
Rybp	Pcgf1	0.610910795452167	PPI
Csk	Dok1	0.610910795452167	PPI
Traf3	Dlg4	0.610910795452167	PPI
Akt1	Arrb2	0.610910795452167	PPI
Nedd4	Tnik	0.610910795452167	PPI
Wasf2	Abi1	0.610910795452167	PPI
Ppib	Dlg4	0.610910795452167	PPI
Nanog	Smc3	0.610910795452167	PPI
Hcn2	Hcn1	0.610910795452167	PPI
Gria1	Dlg4	0.610910795452167	PPI
Msh6	Nanog	0.610910795452167	PPI
Sin3a	Nanog	0.610910795452167	PPI
Dlg4	Nlgn3	0.610910795452167	PPI
Dlg4	Rab3b	0.610910795452167	PPI
Myh9	Trpm7	0.610910795452167	PPI
Gria2	Agap2	0.610910795452167	PPI
Tet1	Nanog	0.610910795452167	PPI
Rbbp7	Ezh2	0.610910795452167	PPI
Chd4	Nanog	0.610910795452167	PPI
Kdm1a	Nanog	0.610910795452167	PPI
Ezh1	Eed	0.610910795452167	PPI
Ezh1	Aebp2	0.610910795452167	PPI
Ezh1	Rbbp4	0.610910795452167	PPI
Dlg4	Mpp2	0.610910795452167	PPI
Daxx	Mdm2	0.610910795452167	PPI
Dlg4	Park7	0.610910795452167	PPI
Cdk5	Dlg4	0.610910795452167	PPI
Rab3c	Dlg4	0.610910795452167	PPI
Traf6	Nr0b2	0.610910795452167	PPI
Phc1	Nanog	0.610910795452167	PPI
Ncam1	Dlg4	0.610910795452167	PPI
Ezh1	Mtf2	0.610910795452167	PPI
Ngly1	Amfr	0.6097269880856511	PPI
Dab1	Aplp1	0.6084850039236789	PPI
Insr	Grb10	0.6084850039236789	PPI
Cyld	Bcl3	0.6084850039236789	PPI
Socs1	Jak2	0.608455421538834	PPI
Dmd	Dag1	0.608228575454985	PPI
Ubc	Nbr1	0.6024001992031539	PPI
Ubc	Cblb	0.6024001992031539	PPI
Ubc	Psmd2	0.6024001992031539	PPI
Ubc	Ubxn1	0.6024001992031539	PPI
Ubc	Mycbp	0.6024001992031539	PPI
Ubc	Epn1	0.6024001992031539	PPI
Ubc	Rnf31	0.6024001992031539	PPI
Ubc	Psmd7	0.6024001992031539	PPI
Ubc	Psmd1	0.6024001992031539	PPI
Ubc	Huwe1	0.6024001992031539	PPI
Ubc	Tab2	0.6024001992031539	PPI
Ubc	Ube2k	0.6024001992031539	PPI
Tom1	Ubc	0.6024001992031539	PPI
Ubc	Brcc3	0.6024001992031539	PPI
Ubc	Hdac6	0.6024001992031539	PPI
Ubc	N4bp1	0.6024001992031539	PPI
Ubc	Eps15	0.6024001992031539	PPI
Ccl2	Ccr2	0.6024001992031539	PPI
Abl1	Nck1	0.602195981388119	PPI
Nsf	Dlg4	0.6016818095970661	PPI
Jak2	Sh2b1	0.601518079528787	PPI
Lims1	Parva	0.60118383211793	PPI
Prdx2	Dlg4	0.60118383211793	PPI
Stk38	Eed	0.60118383211793	PPI
Cyld	Itch	0.60118383211793	PPI
Traf3	Mavs	0.60118383211793	PPI
Yap1	Wwtr1	0.60118383211793	PPI
Sept2	Dlg4	0.60118383211793	PPI
Ring1	Pcgf2	0.60118383211793	PPI
Dnmt1	Ezh2	0.60118383211793	PPI
Fxr1	Ago2	0.60118383211793	PPI
Axin1	Dab2	0.60118383211793	PPI
Cflar	Fadd	0.60118383211793	PPI
Hdac1	Ezh2	0.60118383211793	PPI
Hdac1	Nfkb1	0.60118383211793	PPI
B9d2	B9d1	0.60118383211793	PPI
Cebpb	Kat2a	0.597414429018918	PPI
Mcm6	Cdt1	0.596429375534103	PPI
Net1	Dscam	0.594565387489047	PPI
Mag	Rtn4r	0.594565387489047	PPI
Atf2	Jdp2	0.594565387489047	PPI
Traf6	Arrb2	0.594565387489047	PPI
Ubc	Uchl5	0.594565387489047	PPI
Dmd	Nos1	0.594565387489047	PPI
Fgfr1	Frs2	0.594565387489047	PPI
Dab1	Crk	0.594565387489047	PPI
Ubc	Usp9x	0.594565387489047	PPI
Shh	Boc	0.594565387489047	PPI
Ubc	Cyld	0.594565387489047	PPI
Ubc	Otub1	0.594565387489047	PPI
Ubc	Uchl3	0.594565387489047	PPI
Mcm3	Mcm7	0.594565387489047	PPI
Egfr	Jak2	0.594565387489047	PPI
Sycp3	Sycp2	0.594565387489047	PPI
Ube2b	Rad18	0.594565387489047	PPI
Xiap	Htra2	0.594565387489047	PPI
Pbx1	Meis1	0.594565387489047	PPI
Traf6	Tcam1	0.594565387489047	PPI
Socs2	Cul5	0.594565387489047	PPI
Cdon	Shh	0.594565387489047	PPI
Egf	Egfr	0.594565387489047	PPI
Med12	Cdk8	0.594302953046676	PPI
Invs	Nek8	0.594302953046676	PPI
Cebpa	Wdr5	0.594302953046676	PPI
Hdac1	Cebpa	0.594302953046676	PPI
Chd4	Kdm1a	0.594302953046676	PPI
Mlkl	Ripk3	0.594302953046676	PPI
Ctbp1	Kdm1a	0.594302953046676	PPI
Dbp	Tef	0.5942423747933161	PPI
Barx2	Creb1	0.5942423747933161	PPI
Ppara	Rxra	0.5942423747933161	PPI
Relb	Nfkb2	0.5940353524833349	PPI
Ggn	Fancl	0.5934997893849671	PPI
Fzd8	Gopc	0.5916924876994809	PPI
Rtn4	Rtn4r	0.590931468107766	PPI
Dll1	Magi2	0.5907486775270849	PPI
Nphp4	Nphp1	0.590245711547318	PPI
Dapk3	Atf4	0.589945760218683	PPI
Nanog	Pin1	0.5891061024976739	PPI
Arnt	Epas1	0.5891061024976739	PPI
Prdx6	Ncf2	0.5891061024976739	PPI
Fos	Mafb	0.5891061024976739	PPI
Kat5	Dmap1	0.588091829564057	PPI
Crkl	Cblb	0.588091829564057	PPI
Ccnd2	Cdk6	0.588091829564057	PPI
Sox2	Hdac2	0.588091829564057	PPI
Ep400	Kat5	0.588091829564057	PPI
Kat5	Brd8	0.588091829564057	PPI
Ep400	Dmap1	0.588091829564057	PPI
Ldlr	Dab1	0.5862985587565429	PPI
Nab2	Chd4	0.5862985587565429	PPI
Ptpra	Ptprd	0.5862985587565429	PPI
Barx2	Atf2	0.5862985587565429	PPI
Hdac1	E2f1	0.5862985587565429	PPI
Jun	Mafb	0.5862985587565429	PPI
Ddit3	Cebpa	0.5862985587565429	PPI
Brca1	Brca2	0.5862985587565429	PPI
Hdac1	Eed	0.5862985587565429	PPI
Ptprs	Ptpra	0.5862985587565429	PPI
Rara	Nrip1	0.5862985587565429	PPI
Tbp	Taf1a	0.5862985587565429	PPI
Ring1	Phc2	0.5862985587565429	PPI
Tbp	Taf1c	0.5862985587565429	PPI
Ssbp2	Ssbp3	0.5862985587565429	PPI
Ldb1	Ssbp3	0.5862985587565429	PPI
Tbp	Taf1b	0.5862985587565429	PPI
Grid2	Cbln1	0.586226918522171	PPI
Anxa2	Hltf	0.586226918522171	PPI
Kdm1a	Kdm4c	0.586226918522171	PPI
Gfi1b	Kdm1a	0.586226918522171	PPI
Nsf	Musk	0.585970989042973	PPI
Bmi1	Cbx2	0.585970989042973	PPI
Rasd1	Nr2f6	0.585970989042973	PPI
Dok7	Musk	0.58514699008027	PPI
Casp8	Atg5	0.584902555986893	PPI
Rab10	Dlg4	0.584902555986893	PPI
Mov10	Nanog	0.584902555986893	PPI
Dlg4	Nbea	0.584902555986893	PPI
Dip2b	Dlg4	0.584902555986893	PPI
Brca2	Nanog	0.584902555986893	PPI
Rap2b	Dlg4	0.584902555986893	PPI
Dlg4	Cand1	0.584902555986893	PPI
Spi1	Irf4	0.5846434811062211	PPI
Sntb1	Dtna	0.5846434811062211	PPI
Grb2	Lcp2	0.5846434811062211	PPI
Casp1	Nlrc4	0.5846434811062211	PPI
Apba1	Lin7c	0.584299580694698	PPI
Ep300	Spi1	0.584299580694698	PPI
Cdk1	Ccne1	0.584299580694698	PPI
Stat3	Foxp3	0.584299580694698	PPI
Rbx1	Cul7	0.584299580694698	PPI
Insr	Sh2b2	0.584299580694698	PPI
Cul3	Keap1	0.584299580694698	PPI
Rbx1	Cul1	0.584299580694698	PPI
Ezh2	Phf19	0.584299580694698	PPI
Hap1	Ahi1	0.584299580694698	PPI
Dll1	Mib1	0.584299580694698	PPI
Cul4b	Ddb1	0.584299580694698	PPI
Eps15	Egfr	0.584299580694698	PPI
Nrp1	Gipc1	0.584299580694698	PPI
Mib1	Dll4	0.584299580694698	PPI
Fgr	Cbl	0.584299580694698	PPI
Cdc27	Cdc20	0.584299580694698	PPI
Myc	Fbxw7	0.584299580694698	PPI
Vps45	Vps18	0.584299580694698	PPI
Rab3a	Rims1	0.584299580694698	PPI
Pml	Nanog	0.584299580694698	PPI
Per2	Fbxl3	0.584299580694698	PPI
Myd88	Tlr2	0.584299580694698	PPI
Traf6	Tlr4	0.584299580694698	PPI
Traf6	Tab2	0.584299580694698	PPI
Erbb2	Egfr	0.584299580694698	PPI
Sgcd	Sgcb	0.584299580694698	PPI
Sgcg	Sgcb	0.584299580694698	PPI
Il1r1	Irak1	0.584299580694698	PPI
Nsf	Lrrk2	0.584299580694698	PPI
Kif5c	Kif5a	0.584299580694698	PPI
Btk	Blnk	0.584299580694698	PPI
Ripk1	Itch	0.584299580694698	PPI
Rab3a	Rims2	0.584299580694698	PPI
Runx2	Wwtr1	0.584299580694698	PPI
Dvl2	Dact1	0.584299580694698	PPI
Akt1	Arrb1	0.584299580694698	PPI
Rbbp5	Dpy30	0.584299580694698	PPI
Gli1	Itch	0.584299580694698	PPI
Epor	Cish	0.584299580694698	PPI
Rock2	Raf1	0.584299580694698	PPI
Nanog	Mta3	0.584299580694698	PPI
Akt1	Traf6	0.584299580694698	PPI
Traf2	Cd27	0.584299580694698	PPI
Hdac1	Nanog	0.584299580694698	PPI
Hdac1	Rcor1	0.584299580694698	PPI
Per3	Cry2	0.584299580694698	PPI
Ulk1	Mtor	0.584299580694698	PPI
Wdr18	Nanog	0.584299580694698	PPI
Src	Csf1r	0.584299580694698	PPI
Il1r1	Irak4	0.584299580694698	PPI
Lmna	Sun1	0.584299580694698	PPI
Skil	Pml	0.584299580694698	PPI
Vamp8	Stx17	0.584299580694698	PPI
Irf5	Irak1	0.584299580694698	PPI
Leo1	Paf1	0.584299580694698	PPI
Tcam1	Tbk1	0.584299580694698	PPI
Nanog	Pogz	0.584299580694698	PPI
Cdk16	Ccny	0.584299580694698	PPI
Gli2	Spop	0.584299580694698	PPI
Bcl2	Rad9a	0.584299580694698	PPI
Gli2	Sufu	0.584299580694698	PPI
Nanog	Mta1	0.584299580694698	PPI
Vps18	Stx6	0.584299580694698	PPI
Brdt	Cdk9	0.584299580694698	PPI
Tgfb1	Ltbp3	0.584299580694698	PPI
Cbl	Nck1	0.584299580694698	PPI
Rbbp4	Suz12	0.584299580694698	PPI
Rbbp7	Suz12	0.584299580694698	PPI
Kdm1a	Rcor2	0.584299580694698	PPI
Suz12	Phf19	0.584299580694698	PPI
Mef2a	Hdac4	0.584299580694698	PPI
Ift20	Ift88	0.584299580694698	PPI
Eed	Phf19	0.584299580694698	PPI
Rbbp7	Mta2	0.584299580694698	PPI
Suz12	Aebp2	0.584299580694698	PPI
Eed	Ehmt2	0.584299580694698	PPI
Kdm2b	Pcgf1	0.584299580694698	PPI
Azin2	Oaz3	0.584299580694698	PPI
Egfr	Sos1	0.584299580694698	PPI
Lck	Zap70	0.584299580694698	PPI
Tal1	Sin3a	0.584299580694698	PPI
Smad5	Zeb2	0.5839400654176761	PPI
Myd88	Tirap	0.5839400654176761	PPI
Ctbp2	Zeb1	0.5839400654176761	PPI
Gopc	Fzd5	0.5783856844701469	PPI
Limk1	Rnf6	0.5783856844701469	PPI
Rac1	Traf6	0.5783856844701469	PPI
Dmd	Nde1	0.5783856844701469	PPI
Per2	Cdk5	0.5783856844701469	PPI
Arf5	Caps2	0.5783856844701469	PPI
Actn2	Ldb3	0.5783856844701469	PPI
Hmga1	Taf3	0.5783856844701469	PPI
Six3	Tle4	0.5783856844701469	PPI
Mecom	Mbd3	0.576270769690777	PPI
Cryab	Stat3	0.5758854052674021	PPI
Bcl2	Bad	0.5758854052674021	PPI
Cobl	Dbnl	0.5758854052674021	PPI
Traf6	Bag6	0.5758854052674021	PPI
Birc3	Traf2	0.5758854052674021	PPI
Lepr	Cish	0.5758854052674021	PPI
Per3	Cry1	0.5758854052674021	PPI
Per2	Per3	0.5758854052674021	PPI
Shc1	Gab1	0.5758854052674021	PPI
Per1	Per3	0.5758854052674021	PPI
Fos	Atf4	0.57585414820074	PPI
Jun	Atf4	0.57585414820074	PPI
Clcn7	Ostm1	0.575589697614542	PPI
Dlg4	Pgam5	0.575589697614542	PPI
Dapk3	Stat3	0.5755519090403579	PPI
Sos2	Grb2	0.57386845182498	PPI
Dvl1	Musk	0.573442237718848	PPI
Magi1	Esam	0.573442237718848	PPI
Ctbp1	Glis2	0.573442237718848	PPI
Pias1	Nr2c1	0.573442237718848	PPI
Fgd1	Dbnl	0.573442237718848	PPI
Lck	Socs6	0.573442237718848	PPI
Ryk	Cdc37	0.573442237718848	PPI
Gata4	Smad3	0.573442237718848	PPI
Eme1	Uhrf1	0.573442237718848	PPI
Map1b	Nbr1	0.573442237718848	PPI
Bmi1	Phc1	0.573442237718848	PPI
Abl1	Crkl	0.573442237718848	PPI
Becn1	Gopc	0.573442237718848	PPI
Smad4	Gata4	0.573442237718848	PPI
Cbx5	Hdac9	0.573442237718848	PPI
Hdac2	Foxp3	0.570820462141994	PPI
Psmd2	Eed	0.570820462141994	PPI
Tsc2	Tsc1	0.570820462141994	PPI
Epc1	Kat5	0.570820462141994	PPI
Rad21	Smc3	0.570820462141994	PPI
Cbl	Cblb	0.570820462141994	PPI
Epc2	Kat5	0.570820462141994	PPI
Fmr1	Fxr1	0.570820462141994	PPI
Kat5	Ing3	0.570820462141994	PPI
Mef2d	Hdac4	0.570820462141994	PPI
Dmd	Cav3	0.570820462141994	PPI
Car11	Bcl10	0.570820462141994	PPI
Grb2	Plcg1	0.570820462141994	PPI
Rad21	Smc1a	0.570820462141994	PPI
Cbl	Plcg1	0.570820462141994	PPI
Casp8	Ripk1	0.570820462141994	PPI
Lck	Ptprc	0.570820462141994	PPI
Insr	Cav1	0.570820462141994	PPI
Lat	Lcp2	0.570820462141994	PPI
Rec8	Smc3	0.570820462141994	PPI
Hdac1	Foxp3	0.570820462141994	PPI
Actb	Kat5	0.570820462141994	PPI
Wdr5	Kat2a	0.570820462141994	PPI
Sept7	Sept5	0.570820462141994	PPI
Ccnd1	Cdk2	0.570820462141994	PPI
Sgcd	Dag1	0.570820462141994	PPI
Vhl	Rbx1	0.570820462141994	PPI
B9d2	Mks1	0.570820462141994	PPI
Actb	Trpm7	0.570820462141994	PPI
Gas1	Shh	0.569253019315664	PPI
Gfi1b	Rcor2	0.568898936543214	PPI
Cbx5	Senp7	0.568898936543214	PPI
Egr2	Nab2	0.565243310442503	PPI
Nr2c1	Kat2b	0.565243310442503	PPI
Cbl	Zap70	0.5631696014523511	PPI
Traf2	Birc2	0.562199252934402	PPI
Pcgf2	Phc1	0.562199252934402	PPI
Nfe2	Ash2l	0.5613381333919871	PPI
Set	Pygm	0.5612695430895931	PPI
Smad1	Gata4	0.5608154776751441	PPI
Bmp7	Twsg1	0.5608154776751441	PPI
Hdac1	Hnf1b	0.5608154776751441	PPI
Lnx1	Numb	0.5608154776751441	PPI
Runx1	Foxp3	0.5608154776751441	PPI
